json_id,influencer_name,sponsored,brand,gender_bias_score,matched_hashtag,hashtags_count
1460492811979638574,unknown,1,Target,5.22,target,5
1461083856271043988,unknown,0,Target,5.23,targetstyle,4
1461758273257666820,unknown,0,Target,5.22,targetstyle,4
1462069606554585412,unknown,0,Target,5.23,targetstyle,9
1463530721402832268,unknown,0,Target,5.23,targetstyle,9
1467670003171427086,unknown,0,Target,5.23,target,4
1468605449506220876,unknown,0,Target,5.22,target,2
1469860001215770730,unknown,0,Target,5.22,target,25
1470377495476275258,unknown,1,Target,5.22,target,32
1470491846202719069,beautybyjulia,0,Target,5.22,target,20
1470660430849651127,unknown,0,Target,5.22,target,10
1474903044936144075,unknown,1,Target,5.22,target,13
1475058728398817786,unknown,0,Target,5.22,targetstyle,15
1476275399310624991,unknown,1,Target,5.22,target,11
1476361726593401360,unknown,1,Target,5.22,targetstyle,4
1479383037385178158,unknown,0,Target,5.22,targetstyle,3
1479895432142061918,unknown,0,Target,5.23,target,21
1481449304962109113,unknown,0,Target,5.23,targetstyle,27
1481615221494923409,unknown,0,Target,5.23,target,23
1482724403813239011,unknown,1,Target,5.23,targetstyle,4
1482748483093211409,unknown,1,Target,5.22,target,27
1482749703585266013,unknown,0,Target,5.22,target,14
1482757571227779503,unknown,0,Target,5.22,target,22
1483726390674267371,unknown,0,Target,5.22,target,11
1484131223646509010,unknown,0,Target,5.22,target,26
1484435107725336361,unknown,0,Target,5.23,target,7
1484943438184122338,unknown,1,Target,5.22,target,18
1485070106106421650,unknown,0,Target,5.22,target,28
1487113036224619248,unknown,0,Target,5.22,target,2
1487409925452865952,unknown,0,Target,5.22,targetstyle,2
1488083383850230930,unknown,0,Target,5.23,target,3
1489372804628709031,unknown,0,Target,5.23,targetstyle,2
1491975830065186683,unknown,0,Target,5.22,targetstyle,3
1492510623480072672,unknown,0,Target,5.22,target,24
1493208619109711470,unknown,0,Target,5.22,targetstyle,12
1494277322156290170,beautyandabunny,0,Target,5.22,targetstyle,12
1494299871280386771,unknown,0,Target,5.22,targetstyle,15
1495791006757914955,unknown,0,Target,5.22,target,6
1496795958816862495,unknown,0,Target,5.23,targetstyle,6
1499411736138445370,unknown,0,Target,5.22,target,3
1500048123907969885,unknown,1,Target,5.22,targetstyle,7
1502966557331320002,unknown,0,Target,5.22,target,7
1504770897754837762,unknown,0,Target,5.22,target,25
1505874855445185241,unknown,0,Target,5.22,targetstyle,6
1506209599676939167,unknown,0,Target,5.23,target,20
1506715281854326363,unknown,0,Target,5.23,target,6
1507625468730588172,unknown,0,Target,5.22,target,17
1508041825544771420,unknown,0,Target,5.22,target,16
1508957159243998610,unknown,0,Target,5.22,target,10
1509654768787514433,unknown,0,Target,5.22,target,16
1510515466350373312,unknown,0,Target,5.22,targetstyle,28
1510979324394605635,unknown,0,Target,5.23,target,2
1511242797402222968,unknown,0,Target,5.22,target,5
1511989211296535044,unknown,0,Target,5.23,targetstyle,25
1512745609428462907,unknown,1,Target,5.22,targetstyle,12
1514029750787958477,unknown,0,Target,5.23,target,7
1514839273228278530,unknown,0,Target,5.23,targetstyle,17
1515561019312527749,unknown,0,Target,5.22,targetstyle,30
1517839551120552138,unknown,0,Target,5.23,targetstyle,7
1518215242974546272,unknown,0,Target,5.23,target,23
1519967003234254255,unknown,0,Target,5.23,target,16
1520824400449088909,unknown,0,Target,5.22,target,9
1521368500966743684,unknown,0,Target,5.23,target,4
1522013631184582539,unknown,0,Target,5.22,target,23
1522065004772358875,unknown,0,Target,5.23,targetstyle,4
1522081485031736580,rachaelrebeckah,0,Target,5.22,target,10
1523786464500146034,unknown,0,Target,5.23,targetstyle,26
1524968474925134368,unknown,0,Target,5.22,targetstyle,20
1524986545520697897,unknown,0,Target,5.22,targetstyle,4
1525831077566102576,unknown,0,Target,5.23,targetstyle,5
1527295232310533802,unknown,0,Target,5.22,target,23
1527536396309565367,unknown,0,Target,5.22,target,21
1528566561781975573,unknown,0,Target,5.23,targetstyle,24
1529077491829700106,unknown,0,Target,5.22,target,13
1530605662214619101,unknown,1,Target,5.22,targetstyle,19
1533640586710778322,unknown,1,Target,5.22,target,16
1534117553819119138,unknown,0,Target,5.22,targetstyle,16
1534603705236325289,unknown,1,Target,5.22,target,28
1536669974700310655,unknown,0,Target,5.22,targetstyle,4
1537155209057761704,unknown,0,Target,5.23,target,25
1537162090735805461,unknown,0,Target,5.23,targetstyle,1
1537855076721410991,unknown,1,Target,5.23,target,12
1538617109985276349,unknown,1,Target,5.23,targetstyle,30
1539569977496111169,unknown,0,Target,5.22,target,25
1540078349095226073,unknown,0,Target,5.23,targetstyle,4
1541010510384627333,unknown,0,Target,5.22,targetstyle,5
1541411082756475561,unknown,0,Target,5.23,target,24
1541535768902754138,unknown,0,Target,5.22,targetstyle,25
1541720498207326112,unknown,0,Target,5.22,target,3
1542906868140213368,unknown,0,Target,5.22,target,28
1544702667829238410,unknown,0,Target,5.22,targetstyle,1
1545346303189624258,unknown,0,Target,5.23,targetstyle,8
1545723943506295646,unknown,0,Target,5.23,target,15
1547324955472131069,unknown,0,Target,5.23,targetstyle,22
1548120024459077432,unknown,0,Target,5.22,targetstyle,29
1548845396703805827,unknown,0,Target,5.22,targetstyle,7
1549559862433492054,unknown,0,Target,5.22,target,14
1550357728365879933,unknown,1,Target,5.22,targetstyle,14
1550796186938745734,unknown,0,Target,5.22,targetstyle,6
1551609116556246772,unknown,0,Target,5.23,target,25
1552178362829808137,unknown,0,Target,5.23,targetstyle,19
1552365692282572533,unknown,1,Target,5.22,targetstyle,30
1553796762913174966,unknown,0,Target,5.22,targetstyle,6
1553797698770160949,unknown,0,Target,5.23,targetstyle,30
1554096863921473351,unknown,0,Target,5.23,target,3
1554555239725387913,unknown,0,Target,5.23,targetstyle,29
1554654383281693160,unknown,0,Target,5.22,target,29
1555402567038272830,unknown,0,Target,5.23,target,21
1555782359605251196,unknown,1,Target,5.23,target,30
1556019358878635776,unknown,0,Target,5.22,targetstyle,23
1556660322500526845,unknown,0,Target,5.23,target,26
1556930681068875361,unknown,0,Target,5.23,target,24
1557088131541531509,unknown,0,Target,5.22,target,32
1557387002226203422,unknown,0,Target,5.23,target,14
1557486107465404080,unknown,0,Target,5.22,targetstyle,28
1557544699015093966,prekatplay,0,Target,5.23,target,10
1558955444114770725,unknown,0,Target,5.23,targetstyle,16
1559649671882109857,unknown,0,Target,5.23,targetstyle,6
1559763069370250202,naturalme4c,0,Target,5.23,target,20
1560440624988194071,unknown,0,Target,5.22,target,6
1561179046410661067,unknown,0,Target,5.22,target,7
1561280630591124379,unknown,0,Target,5.23,targetstyle,2
1562573709750696697,unknown,0,Target,5.23,targetstyle,25
1563196480689166726,unknown,0,Target,5.23,targetstyle,24
1563282472535781828,unknown,0,Target,5.22,target,9
1564079744261465307,themommyelf,0,Target,5.22,targetstyle,13
1564789972257635482,unknown,0,Target,5.22,target,11
1564792522655173450,unknown,0,Target,5.23,targetstyle,28
1565322668538168068,unknown,0,Target,5.23,targetstyle,4
1565385289478723108,unknown,0,Target,5.22,target,29
1565728679749108014,unknown,0,Target,5.23,target,31
1566022503560798583,unknown,0,Target,5.22,target,16
1567055960453896049,unknown,0,Target,5.23,target,8
1567597339572915250,unknown,0,Target,5.22,target,5
1567670891634827859,unknown,0,Target,5.22,targetstyle,20
1567725109531512931,unknown,0,Target,5.23,targetstyle,3
1568159801745020913,unknown,0,Target,5.22,targetstyle,12
1568296773461454992,unknown,0,Target,5.23,targetstyle,1
1568597969510641522,unknown,1,Target,5.22,targetstyle,20
1569131722234926717,unknown,0,Target,5.22,targetstyle,29
1569871904944436591,unknown,0,Target,5.23,target,25
1570414533386004677,unknown,0,Target,5.22,targetstyle,30
1570481616890815626,unknown,0,Target,5.22,target,2
1571307139527846457,unknown,0,Target,5.22,targetstyle,22
1571931436645582491,hubcitydesignlbk,1,Target,5.22,target,27
1571939133076886961,unknown,0,Target,5.23,targetstyle,4
1571952257329996497,unknown,0,Target,5.22,target,30
1572760649071482111,unknown,0,Target,5.22,targetstyle,27
1572959434669590115,unknown,0,Target,5.23,targetstyle,15
1573006107559273428,unknown,0,Target,5.23,targetstyle,26
1575018542143064420,unknown,0,Target,5.22,targetstyle,3
1575625452730938672,unknown,0,Target,5.23,target,16
1575858859272882248,unknown,1,Target,5.22,targetstyle,16
1575871088294137891,unknown,0,Target,5.22,targetstyle,28
1577259556253024057,unknown,0,Target,5.22,targetstyle,4
1577561301830433710,unknown,0,Target,5.22,targetstyle,8
1577827842880655285,unknown,1,Target,5.22,targetstyle,25
1577829096884576796,unknown,0,Target,5.22,targetstyle,30
1578320621749090477,unknown,0,Target,5.22,target,27
1578712500110930936,unknown,0,Target,5.22,targetstyle,15
1579991938965482903,unknown,0,Target,5.22,target,4
1580049547941829045,unknown,0,Target,5.22,target,28
1580054944484770702,unknown,0,Target,5.23,targetstyle,22
1580582022693370188,unknown,0,Target,5.22,target,30
1581232765821788613,unknown,0,Target,5.22,target,29
1582228855761904031,thesimplemommyscene,0,Target,5.22,target,23
1582817688992222254,unknown,0,Target,5.23,targetstyle,4
1583102564291152642,unknown,0,Target,5.23,targetstyle,10
1583808602723253502,mrs.alyssa.gomez,0,Target,5.23,target,2
1584107571294320417,unknown,0,Target,5.23,targetstyle,29
1584150620397502015,vmarcianti,0,Target,5.23,target,11
1584158103950338395,unknown,0,Target,5.22,target,20
1584286451657673644,unknown,0,Target,5.22,target,10
1584287877050474339,unknown,0,Target,5.22,targetstyle,7
1584865331260053317,unknown,0,Target,5.23,targetstyle,22
1584872958274584808,unknown,0,Target,5.23,targetstyle,29
1585661962213573868,unknown,0,Target,5.22,targetstyle,29
1586258113386825675,unknown,0,Target,5.23,targetstyle,9
1586274543121844918,unknown,0,Target,5.22,target,30
1587281023668914661,unknown,0,Target,5.23,target,9
1587386630438792053,unknown,0,Target,5.22,target,33
1587882866985667555,unknown,0,Target,5.23,target,30
1587974847366759038,unknown,0,Target,5.22,target,30
1588128396701605142,unknown,0,Target,5.23,targetstyle,31
1588512215269439325,unknown,0,Target,5.23,target,12
1589178081566702589,unknown,0,Target,5.23,targetstyle,28
1589425794751649240,unknown,1,Target,5.22,target,7
1589603085332166969,unknown,0,Target,5.22,targetstyle,15
